,balance,balance,total_orders,total_orders,avg_order_value,avg_order_value,total_spent,total_spent,active_days,active_days
,mean,std,mean,std,mean,std,mean,std,mean,std
cluster,,,,,,,,,,
0,582.556,317.504,6.2,1.135,4842.491,1044.897,29293.517,4365.497,6.0,1.333
1,494.915,268.68,1.762,0.889,2128.095,1053.212,3660.683,2385.0,1.762,0.889
2,255.923,155.671,3.818,0.733,4536.97,1076.608,17095.632,4135.513,3.773,0.752
3,780.038,130.894,4.115,0.993,3881.429,945.354,15431.581,3599.736,4.077,1.017
4,569.271,216.52,1.429,0.507,5497.637,1173.172,7688.372,2754.272,1.429,0.507
