,balance,balance,total_orders,total_orders,avg_order_value,avg_order_value,total_spent,total_spent,active_days,active_days
,mean,std,mean,std,mean,std,mean,std,mean,std
cluster,,,,,,,,,,
0,646.408,221.672,2.208,0.658,5939.3,1158.64,13256.866,5003.348,2.208,0.658
1,447.705,185.238,6.625,0.744,4351.805,864.936,28719.55,5673.593,6.5,0.926
2,521.921,228.287,3.7,0.596,3717.512,947.643,13589.857,3634.55,3.667,0.606
3,319.687,253.109,1.767,0.626,3238.878,1317.293,5922.247,3256.926,1.767,0.626
4,782.501,147.627,4.875,0.835,6055.704,1096.201,29003.1,4193.556,4.875,0.835
