,balance,balance,total_orders,total_orders,avg_order_value,avg_order_value,total_spent,total_spent,active_days,active_days
,mean,std,mean,std,mean,std,mean,std,mean,std
cluster,,,,,,,,,,
0,372.398,200.983,1.875,0.806,2609.779,1196.917,4842.482,2888.494,1.875,0.806
1,346.175,181.338,9.0,1.414,4329.284,394.206,39242.305,9670.385,9.0,1.414
2,388.959,245.725,5.0,0.947,4249.027,828.116,21001.127,4455.673,4.933,1.015
3,809.771,150.18,2.542,0.977,2752.022,1109.494,7031.687,3449.067,2.542,0.977
4,592.896,292.242,1.964,0.793,5924.153,1088.588,11238.996,4211.101,1.964,0.793
