,balance,balance,total_orders,total_orders,avg_order_value,avg_order_value,total_spent,total_spent,active_days,active_days
,mean,std,mean,std,mean,std,mean,std,mean,std
cluster,,,,,,,,,,
0,588.623,248.725,1.286,0.488,7871.891,1598.249,10293.35,5126.06,1.286,0.488
1,473.84,312.039,1.576,0.561,2680.453,1192.381,4265.238,2326.975,1.515,0.566
2,260.423,157.635,3.458,0.977,4329.76,1250.874,14333.834,3879.789,3.417,0.974
3,396.083,215.833,5.938,1.482,4643.775,1005.866,27061.246,7059.637,5.938,1.482
4,741.826,154.415,3.85,0.671,3894.825,1048.445,14995.248,4621.277,3.85,0.671
