,balance,balance,total_orders,total_orders,avg_order_value,avg_order_value,total_spent,total_spent,active_days,active_days
,mean,std,mean,std,mean,std,mean,std,mean,std
cluster,,,,,,,,,,
0,391.77,246.688,3.694,0.668,4215.915,904.043,15282.012,3108.468,3.694,0.668
1,418.564,305.183,6.25,0.856,4343.24,699.381,27176.518,6242.698,6.188,0.75
2,557.277,318.719,2.25,1.055,7887.339,1409.479,17203.628,7438.117,2.25,1.055
3,807.855,171.747,1.333,0.516,694.3,407.588,896.388,476.993,1.333,0.516
4,418.979,259.132,2.1,0.662,3699.769,1444.063,7064.96,2153.736,2.1,0.662
